uniprot	refseq
A0Q457	WP_003040995
A0Q458	WP_003040999
A0Q459	WP_003041003
A0Q460	WP_003041006
A0Q461	WP_011733569
A0Q462	WP_003041015
A0Q463	WP_003032777
A0Q464	WP_003032778
A0Q465	WP_003029937
A0Q466	WP_003032780
A0Q467	WP_003013731
A0Q468	WP_003032781
A0Q469	WP_003032782
A0Q470	WP_003032783
A0Q471	WP_003041024
A0Q472	WP_011733570
A0Q473	WP_003041030
A0Q474	WP_003041032
A0Q476	WP_003041040
A0Q478	WP_003041045
A0Q479	WP_003041048
A0Q480	WP_003041052
A0Q481	WP_003041055
A0Q483	WP_003014122
A0Q484	WP_011733573
A0Q485	WP_003014123
A0Q486	WP_011733574
A0Q487	WP_003032804
A0Q488	WP_003041066
A0Q489	WP_011733575
A0Q490	WP_003038216
A0Q492	WP_003041075
A0Q493	WP_011733576
A0Q494	WP_003041079
A0Q495	WP_003032819
A0Q496	WP_003041081
A0Q497	WP_003041083
A0Q498	WP_003041085
A0Q499	WP_003041086
A0Q4A0	WP_003041088
A0Q4A1	WP_011733577
A0Q4A2	WP_003032835
A0Q4A3	WP_003041095
A0Q4A4	WP_003032840
A0Q4A5	WP_011733578
A0Q4A6	WP_011733579
A0Q4A7	WP_011733580
A0Q4A8	WP_011733581
A0Q4A9	WP_011733582
A0Q4B1	WP_003041590
A0Q4B4	WP_003017470
A0Q4B5	WP_003041584
A0Q4B6	WP_003032868
A0Q4B7	WP_003041582
A0Q4B8	WP_003041579
A0Q4B9	WP_003041577
A0Q4C0	WP_011733583
A0Q4C1	WP_003041573
A0Q4C2	WP_003021830
A0Q4C3	WP_003035232
A0Q4C4	WP_003013909
A0Q4C5	WP_003041569
A0Q4C6	WP_003035236
A0Q4C7	WP_011733584
A0Q4C8	WP_003041562
A0Q4C9	WP_003041559
A0Q4D0	WP_003041555
A0Q4D1	WP_003041552
A0Q4D2	WP_003041549
A0Q4D3	WP_003013892
A0Q4D4	WP_003041546
A0Q4D5	WP_003041543
A0Q4D6	WP_003041540
A0Q4D7	WP_003041538
A0Q4D8	WP_003041536
A0Q4D9	WP_011733585
A0Q4E0	WP_003035266
A0Q4E1	WP_003035267
A0Q4E2	WP_003027262
A0Q4E3	WP_003021682
A0Q4E4	WP_003027258
A0Q4E5	WP_003041529
A0Q4E6	WP_003041526
A0Q4E7	WP_003035279
A0Q4E8	WP_003041523
A0Q4E9	WP_003041521
A0Q4F0	WP_003041518
A0Q4F1	WP_003041515
A0Q4F2	WP_011733586
A0Q4F3	WP_003041509
A0Q4F4	WP_003041507
A0Q4F5	WP_003041504
A0Q4F6	WP_004338933
A0Q4F7	WP_003041498
A0Q4F9	WP_003041490
A0Q4G0	WP_003041596
A0Q4G1	WP_003023139
A0Q4G2	WP_003041487
A0Q4G3	WP_003041481
A0Q4G4	WP_003035326
A0Q4G5	WP_003041477
A0Q4G6	WP_003041472
A0Q4G7	WP_011733587
A0Q4G8	WP_003041461
A0Q4G9	WP_003041458
A0Q4H0	WP_003041455
A0Q4H1	WP_003041451
A0Q4H2	WP_003017693
A0Q4H3	WP_003021612
A0Q4H4	WP_003014302
A0Q4H6	WP_003021609
A0Q4H7	WP_003017689
A0Q4H8	WP_003041445
A0Q4H9	WP_003035357
A0Q4I0	WP_003021606
A0Q4I1	WP_003043247
A0Q4I2	WP_003027204
A0Q4I3	WP_003027202
A0Q4I4	WP_003021600
A0Q4I5	WP_003027200
A0Q4I6	WP_003027197
A0Q4I7	WP_003027195
A0Q4I8	WP_003027193
A0Q4I9	WP_011733588
A0Q4J0	WP_003027191
A0Q4J1	WP_003017801
A0Q4J2	WP_003017803
A0Q4J3	WP_003014346
A0Q4J4	WP_003014349
A0Q4J5	WP_003014352
A0Q4J6	WP_003032885
A0Q4J7	WP_003038261
A0Q4J8	WP_003032887
A0Q4J9	WP_003032890
A0Q4K0	WP_003021588
A0Q4K1	WP_003014363
A0Q4K2	WP_003032892
A0Q4K3	WP_003035393
A0Q4K4	WP_003017816
A0Q4K5	WP_003014373
A0Q4K6	WP_003021583
A0Q4K7	WP_003014378
A0Q4K8	WP_003032894
A0Q4K9	WP_003014382
A0Q4L0	WP_003038264
A0Q4L1	WP_003038265
A0Q4L2	WP_011733589
A0Q4L3	WP_003020026
A0Q4L4	WP_003016495
A0Q4L5	WP_003027135
A0Q4L6	WP_003035402
A0Q4L7	WP_003038268
A0Q4L8	WP_003038269
A0Q4L9	WP_003038270
A0Q4M0	WP_003038272
A0Q4M1	WP_011733590
A0Q4M2	WP_003038273
A0Q4M3	WP_003035411
A0Q4M4	WP_003038275
A0Q4M5	WP_003032915
A0Q4M6	WP_003038282
A0Q4M7	WP_003038284
A0Q4M8	WP_011733591
A0Q4M9	WP_003038288
A0Q4N0	WP_003035420
A0Q4N1	WP_011733592
A0Q4N2	WP_003032928
A0Q4N3	WP_003019565
A0Q4N4	WP_003038295
A0Q4N5	WP_003038296
A0Q4N6	WP_003032934
A0Q4N7	WP_011733593
A0Q4N8	WP_003038299
A0Q4N9	WP_003022558
A0Q4P1	WP_003032939
A0Q4P2	WP_003038303
A0Q4P3	WP_003024914
A0Q4P4	WP_003038305
A0Q4P5	WP_003038306
A0Q4P6	WP_011733595
A0Q4P7	WP_003032948
A0Q4P8	WP_003038308
A0Q4P9	WP_003038309
A0Q4Q0	WP_003038310
A0Q4Q1	WP_011733596
A0Q4Q2	WP_003017136
A0Q4Q3	WP_003032953
A0Q4Q4	WP_003038312
A0Q4Q5	WP_003038313
A0Q4Q6	WP_011733597
A0Q4Q7	WP_003038316
A0Q4Q8	WP_003038318
A0Q4Q9	WP_003032959
A0Q4R0	WP_011733598
A0Q4R1	WP_003038325
A0Q4R2	WP_003038326
A0Q4R3	WP_011733599
A0Q4R4	WP_003022536
A0Q4R5	WP_003038331
A0Q4R6	WP_003038333
A0Q4R7	WP_003014807
A0Q4R8	WP_003032986
A0Q4R9	WP_003038338
A0Q4S0	WP_003014812
A0Q4S1	WP_003014814
A0Q4S2	WP_003032990
A0Q4S3	WP_003014820
A0Q4S4	WP_003014822
A0Q4S5	WP_003032993
A0Q4S6	WP_003038341
A0Q4S7	WP_003024150
A0Q4S8	WP_003038346
A0Q4S9	WP_003032999
A0Q4T0	WP_003038348
A0Q4T1	WP_003038350
A0Q4T2	WP_003038351
A0Q4T3	WP_003038353
A0Q4T4	WP_003038355
A0Q4T5	WP_003038357
A0Q4T6	WP_003038359
A0Q4T7	WP_003038361
A0Q4T8	WP_003033018
A0Q4T9	WP_003038363
A0Q4U0	WP_003038365
A0Q4U1	WP_011733600
A0Q4U2	WP_003020798
A0Q4U3	WP_003018370
A0Q4U4	WP_003035506
A0Q4U5	WP_003038372
A0Q4U6	WP_003038375
A0Q4U7	WP_003026577
A0Q4U8	WP_003020808
A0Q4U9	WP_003038377
A0Q4V0	WP_003038380
A0Q4V1	WP_003023560
A0Q4V2	WP_003038381
A0Q4V3	WP_003038382
A0Q4V4	WP_003038383
A0Q4V5	WP_003038386
A0Q4V6	WP_003038387
A0Q4V7	WP_003038393
A0Q4V8	WP_003038396
A0Q4V9	WP_003038401
A0Q4W0	WP_003038402
A0Q4W1	WP_003038404
A0Q4W2	WP_003038406
A0Q4W3	WP_003038408
A0Q4W4	WP_003038411
A0Q4W6	WP_011733602
A0Q4W7	WP_003038418
A0Q4W8	WP_003038419
A0Q4W9	WP_003038420
A0Q4X0	WP_003033037
A0Q4X1	WP_003038421
A0Q4X2	WP_003038423
A0Q4X3	WP_003033040
A0Q4X4	WP_003038424
A0Q4X5	WP_003038425
A0Q4X6	WP_003014552
A0Q4X7	WP_003035545
A0Q4X8	WP_003035548
A0Q4X9	WP_003014561
A0Q4Y0	WP_003033045
A0Q4Y1	WP_003033046
A0Q4Y2	WP_003038426
A0Q4Y3	WP_003038427
A0Q4Y4	WP_003033048
A0Q4Y5	WP_003038428
A0Q4Y6	WP_003020854
A0Q4Y7	WP_003038429
A0Q4Y8	WP_003038430
A0Q4Y9	WP_003018401
A0Q4Z0	WP_003020861
A0Q4Z1	WP_003014580
A0Q4Z2	WP_003014581
A0Q4Z3	WP_003038431
A0Q4Z4	WP_003038433
A0Q4Z5	WP_003038434
A0Q4Z7	WP_003038436
A0Q4Z8	WP_003038437
A0Q4Z9	WP_003033080
A0Q500	WP_003038438
A0Q501	WP_011733603
A0Q502	WP_003038440
A0Q503	WP_003038443
A0Q504	WP_003038444
A0Q505	WP_003038445
A0Q506	WP_003038446
A0Q507	WP_003020889
A0Q508	WP_003038447
A0Q509	WP_003038448
A0Q510	WP_003035603
A0Q511	WP_003038450
A0Q512	WP_003033109
A0Q513	WP_003038452
A0Q514	WP_003014682
A0Q515	WP_003033116
A0Q517	WP_011733604
A0Q518	WP_003014689
A0Q519	WP_003038455
A0Q520	WP_003038456
A0Q521	WP_003017865
A0Q522	WP_003033129
A0Q523	WP_003033130
A0Q524	WP_003035617
A0Q525	WP_003038459
A0Q526	WP_003038460
A0Q527	WP_003033135
A0Q528	WP_003033138
A0Q529	WP_003038463
A0Q530	WP_003038464
A0Q531	WP_003038465
A0Q532	WP_003038468
A0Q533	WP_003038469
A0Q534	WP_003038470
A0Q535	WP_003038471
A0Q536	WP_003017885
A0Q537	WP_003038472
A0Q538	WP_003038473
A0Q540	WP_003033154
A0Q541	WP_003038475
A0Q542	WP_003033158
A0Q543	WP_003038477
A0Q544	WP_003038479
A0Q545	WP_003038480
A0Q546	WP_003038481
A0Q547	WP_011733606
A0Q548	WP_011733607
A0Q549	WP_003038484
A0Q550	WP_003022001
A0Q551	WP_003021998
A0Q552	WP_003021995
A0Q553	WP_003025860
A0Q554	WP_003038485
A0Q555	WP_003038486
A0Q556	WP_033144272
A0Q557	WP_003025872
A0Q559	WP_003038492
A0Q560	WP_003038493
A0Q561	WP_003017929
A0Q562	WP_003033196
A0Q563	WP_003038494
A0Q564	WP_003038495
A0Q565	WP_003038496
A0Q566	WP_003038501
A0Q568	WP_003033202
A0Q569	WP_003017957
A0Q570	WP_003038503
A0Q571	WP_003027088
A0Q572	WP_003038504
A0Q573	WP_003038505
A0Q574	WP_003038506
A0Q575	WP_003038507
A0Q576	WP_003033215
A0Q577	WP_011733610
A0Q578	WP_003033217
A0Q579	WP_003038509
A0Q580	WP_003038510
A0Q581	WP_003041796
A0Q582	WP_003038513
A0Q583	WP_003017997
A0Q584	WP_003035692
A0Q585	WP_003038514
A0Q586	WP_003018004
A0Q587	WP_003038515
A0Q588	WP_003035698
A0Q589	WP_003038516
A0Q590	WP_003038517
A0Q591	WP_003035700
A0Q592	WP_003038519
A0Q593	WP_003038522
A0Q594	WP_003035703
A0Q595	WP_003038524
A0Q596	WP_003038526
A0Q597	WP_003038527
A0Q598	WP_003038530
A0Q599	WP_003038532
A0Q5A0	WP_003038534
A0Q5A2	WP_003038537
A0Q5A3	WP_003038539
A0Q5A4	WP_011733612
A0Q5A6	WP_003038547
A0Q5A7	WP_003038549
A0Q5A8	WP_003038551
A0Q5A9	WP_003038553
A0Q5B0	WP_003038556
A0Q5B1	WP_003038558
A0Q5B2	WP_003026972
A0Q5B3	WP_003038562
A0Q5B4	WP_003020199
A0Q5B5	WP_011733613
A0Q5B6	WP_003038567
A0Q5B8	WP_003038570
A0Q5B9	WP_003038572
A0Q5C1	WP_003038575
A0Q5C2	WP_003035764
A0Q5C3	WP_003033307
A0Q5C4	WP_003035771
A0Q5C5	WP_003020229
A0Q5C6	WP_003038581
A0Q5C7	WP_003026946
A0Q5C8	WP_003020235
A0Q5C9	WP_011733616
A0Q5D0	WP_003038584
A0Q5D1	WP_003038585
A0Q5D2	WP_003033319
A0Q5D3	WP_003035781
A0Q5D4	WP_003026930
A0Q5D5	WP_003033325
A0Q5D7	WP_003033328
A0Q5D8	WP_011733617
A0Q5D9	WP_003038592
A0Q5E0	WP_003038594
A0Q5E1	WP_003033335
A0Q5E2	WP_003016972
A0Q5E3	WP_003033337
A0Q5E4	WP_003033338
A0Q5E5	WP_003038597
A0Q5E6	WP_003033340
A0Q5E7	WP_003038599
A0Q5E8	WP_003038601
A0Q5E9	WP_003038603
A0Q5F0	WP_003016952
A0Q5F1	WP_003033343
A0Q5F2	WP_003033344
A0Q5F3	WP_003038607
A0Q5F4	WP_003033346
A0Q5F5	WP_003033347
A0Q5F6	WP_003038609
A0Q5F7	WP_003038612
A0Q5F8	WP_003038613
A0Q5F9	WP_011733618
A0Q5G0	WP_003038617
A0Q5G1	WP_003038619
A0Q5G3	WP_003038622
A0Q5G4	WP_003038625
A0Q5G5	WP_003038628
A0Q5G7	WP_003038634
A0Q5G8	WP_003038637
A0Q5G9	WP_003038640
A0Q5H0	WP_003038642
A0Q5H1	WP_011733621
A0Q5H2	WP_003038647
A0Q5H3	WP_003020335
A0Q5H4	WP_003033367
A0Q5H5	WP_003038650
A0Q5H7	WP_003038655
A0Q5H8	WP_003038657
A0Q5H9	WP_003033373
A0Q5I0	WP_003033374
A0Q5I1	WP_003016899
A0Q5I2	WP_003038662
A0Q5I3	WP_003016895
A0Q5I4	WP_003035887
A0Q5I5	WP_003035895
A0Q5I6	WP_003020494
A0Q5I7	WP_003033385
A0Q5I8	WP_003033386
A0Q5I9	WP_003033387
A0Q5J0	WP_003016875
A0Q5J1	WP_003038670
A0Q5J2	WP_003016871
A0Q5J3	WP_003019409
A0Q5J4	WP_003038674
A0Q5J5	WP_003038679
A0Q5J6	WP_003038681
A0Q5J7	WP_003038683
A0Q5J9	WP_003035924
A0Q5K0	WP_003020516
A0Q5K1	WP_003035930
A0Q5K2	WP_003019394
A0Q5K3	WP_003038692
A0Q5K4	WP_011733623
A0Q5K6	WP_003026826
A0Q5K7	WP_003038700
A0Q5K8	WP_003026824
A0Q5K9	WP_003038702
A0Q5L0	WP_003033415
A0Q5L1	WP_003038704
A0Q5L2	WP_003038706
A0Q5L3	WP_003038710
A0Q5L4	WP_003033422
A0Q5L5	WP_003038714
A0Q5L6	WP_003038718
A0Q5L7	WP_003035976
A0Q5L8	WP_003038721
A0Q5L9	WP_003038723
A0Q5M0	WP_003038726
A0Q5M1	WP_003038729
A0Q5M2	WP_003023908
A0Q5M3	WP_011733624
A0Q5M4	WP_003038734
A0Q5M5	WP_003038739
A0Q5M6	WP_003038742
A0Q5M7	WP_003038744
A0Q5M8	WP_003016798
A0Q5M9	WP_003038749
A0Q5N0	WP_003022063
A0Q5N1	WP_003019364
A0Q5N2	WP_003016791
A0Q5N3	WP_011733625
A0Q5N4	WP_003038756
A0Q5N5	WP_011733626
A0Q5N6	WP_003033462
A0Q5N7	WP_003038764
A0Q5N8	WP_003022051
A0Q5N9	WP_003019355
A0Q5P0	WP_003038767
A0Q5P1	WP_003016775
A0Q5P2	WP_003016773
A0Q5P3	WP_003038772
A0Q5P4	WP_003038776
A0Q5P5	WP_003038779
A0Q5P6	WP_003033478
A0Q5P7	WP_003038782
A0Q5P8	WP_003038784
A0Q5P9	WP_003033484
A0Q5Q0	WP_003038786
A0Q5Q1	WP_003038788
A0Q5Q2	WP_003016753
A0Q5Q3	WP_003020646
A0Q5Q4	WP_003019341
A0Q5Q5	WP_003038792
A0Q5Q6	WP_003038796
A0Q5Q7	WP_003038798
A0Q5Q8	WP_003038800
A0Q5Q9	WP_003016659
A0Q5R0	WP_003033493
A0Q5R1	WP_003038804
A0Q5R2	WP_003038806
A0Q5R3	WP_003038808
A0Q5R4	WP_011733627
A0Q5R5	WP_003038813
A0Q5R6	WP_003022320
A0Q5R7	WP_003038816
A0Q5R8	WP_003033506
A0Q5R9	WP_003038817
A0Q5S0	WP_003038819
A0Q5S1	WP_003038821
A0Q5S2	WP_003038824
A0Q5S3	WP_003038825
A0Q5S5	WP_003016618
A0Q5S6	WP_011733628
A0Q5S7	WP_003038832
A0Q5S8	WP_003038835
A0Q5T0	WP_003038841
A0Q5T1	WP_003038844
A0Q5T3	WP_003038847
A0Q5T4	WP_003038849
A0Q5T5	WP_003038852
A0Q5T6	WP_003038855
A0Q5T7	WP_011733631
A0Q5T8	WP_003038861
A0Q5T9	WP_003038864
A0Q5U0	WP_003038867
A0Q5U2	WP_011733633
A0Q5U3	WP_003038879
A0Q5U4	WP_003038881
A0Q5U5	WP_003038884
A0Q5U6	WP_003023515
A0Q5U7	WP_003036153
A0Q5U8	WP_003038889
A0Q5U9	WP_003038892
A0Q5V0	WP_003033554
A0Q5V1	WP_003038896
A0Q5V2	WP_003038899
A0Q5V3	WP_003038901
A0Q5V4	WP_003038904
A0Q5V5	WP_003033562
A0Q5V6	WP_003033564
A0Q5V7	WP_003038907
A0Q5V8	WP_003027955
A0Q5V9	WP_003038910
A0Q5W0	WP_003033568
A0Q5W1	WP_003038913
A0Q5W2	WP_003038915
A0Q5W3	WP_003033571
A0Q5W5	WP_003015139
A0Q5W6	WP_003038923
A0Q5W7	WP_003033577
A0Q5W8	WP_003038926
A0Q5W9	WP_003038928
A0Q5X0	WP_011733635
A0Q5X1	WP_003038931
A0Q5X2	WP_003038932
A0Q5X3	WP_003036211
A0Q5X4	WP_003038934
A0Q5X5	WP_003033592
A0Q5X6	WP_003038937
A0Q5X7	WP_003038938
A0Q5X8	WP_003016538
A0Q5X9	WP_003038939
A0Q5Y0	WP_003016535
A0Q5Y1	WP_003016533
A0Q5Y2	WP_003038940
A0Q5Y3	WP_003038941
A0Q5Y4	WP_003033605
A0Q5Y5	WP_003026686
A0Q5Y7	WP_003038944
A0Q5Y8	WP_003033610
A0Q5Y9	WP_003036243
A0Q5Z0	WP_003038947
A0Q5Z1	WP_003038948
A0Q5Z2	WP_003038949
A0Q5Z3	WP_003038950
A0Q5Z4	WP_011733637
A0Q5Z5	WP_003033621
A0Q5Z6	WP_003038952
A0Q5Z7	WP_003036264
A0Q5Z8	WP_003033624
A0Q5Z9	WP_003038953
A0Q600	WP_003038954
A0Q602	WP_003038956
A0Q603	WP_003038958
A0Q604	WP_003038961
A0Q605	WP_011733638
A0Q606	WP_003038964
A0Q609	WP_003036292
A0Q611	WP_003038972
A0Q612	WP_003033647
A0Q613	WP_003038974
A0Q614	WP_003038976
A0Q615	WP_003038978
A0Q616	WP_003036308
A0Q617	WP_003038980
A0Q618	WP_003038982
A0Q621	WP_003038988
A0Q622	WP_003042269
A0Q623	WP_011733641
A0Q625	WP_011733643
A0Q626	WP_003038998
A0Q627	WP_003039000
A0Q628	WP_003039002
A0Q629	WP_003039004
A0Q630	WP_003039007
A0Q631	WP_011733644
A0Q632	WP_003042284
A0Q633	WP_003042287
A0Q634	WP_003039016
A0Q635	WP_011733645
A0Q636	WP_003039019
A0Q637	WP_003039021
A0Q638	WP_003026016
A0Q640	WP_003039029
A0Q641	WP_003039032
A0Q642	WP_003039034
A0Q643	WP_003033690
A0Q644	WP_011733647
A0Q645	WP_003039041
A0Q646	WP_003039044
A0Q648	WP_011733649
A0Q649	WP_003039049
A0Q650	WP_011733650
A0Q651	WP_003039053
A0Q653	WP_011733652
A0Q654	WP_003039061
A0Q655	WP_003036417
A0Q656	WP_003016377
A0Q657	WP_003039065
A0Q658	WP_003039068
A0Q659	WP_003039070
A0Q660	WP_003039073
A0Q661	WP_003039076
A0Q662	WP_003039079
A0Q663	WP_003033719
A0Q665	WP_003033724
A0Q666	WP_003039085
A0Q667	WP_011733654
A0Q668	WP_003029417
A0Q669	WP_003033733
A0Q670	WP_011733655
A0Q671	WP_003033738
A0Q672	WP_003019199
A0Q673	WP_003033745
A0Q674	WP_003033749
A0Q675	WP_003021049
A0Q676	WP_003033752
A0Q677	WP_003033755
A0Q678	WP_003033757
A0Q679	WP_003033759
A0Q680	WP_003039100
A0Q681	WP_003033763
A0Q682	WP_003033766
A0Q683	WP_003039106
A0Q684	WP_003039109
A0Q685	WP_003039112
A0Q686	WP_003033835
A0Q687	WP_003039119
A0Q688	WP_003039122
A0Q689	WP_003021066
A0Q690	WP_003039126
A0Q691	WP_003039129
A0Q692	WP_003039133
A0Q693	WP_003039136
A0Q694	WP_003036474
A0Q695	WP_011733656
A0Q696	WP_003016296
A0Q697	WP_003021081
A0Q698	WP_003039149
A0Q699	WP_011733657
A0Q6A0	WP_003039156
A0Q6A1	WP_003039159
A0Q6A2	WP_003039161
A0Q6A3	WP_003039164
A0Q6A5	WP_003039170
A0Q6A6	WP_003039175
A0Q6A7	WP_003039177
A0Q6A8	WP_003039180
A0Q6A9	WP_003039182
A0Q6B0	WP_003039185
A0Q6B1	WP_003039187
A0Q6B2	WP_003033798
A0Q6B3	WP_003039190
A0Q6B4	WP_003016007
A0Q6B5	WP_003033794
A0Q6B6	WP_003039194
A0Q6B7	WP_003033792
A0Q6B8	WP_003039197
A0Q6B9	WP_003039201
A0Q6C0	WP_003039205
A0Q6C1	WP_003039209
A0Q6C2	WP_003033783
A0Q6C3	WP_003039212
A0Q6C4	WP_003039215
A0Q6C5	WP_003021125
A0Q6C6	WP_003021127
A0Q6C7	WP_003036519
A0Q6C8	WP_003039222
A0Q6C9	WP_003026086
A0Q6D0	WP_003039225
A0Q6D1	WP_003015976
A0Q6D2	WP_003039232
A0Q6D3	WP_011733659
A0Q6D4	WP_003039242
A0Q6D5	WP_003039245
A0Q6D6	WP_003039248
A0Q6D7	WP_003039251
A0Q6D8	WP_003026091
A0Q6D9	WP_003033846
A0Q6E0	WP_003036543
A0Q6E1	WP_003033849
A0Q6E2	WP_003039254
A0Q6E3	WP_003039257
A0Q6E4	WP_003033853
A0Q6E5	WP_003039260
A0Q6E6	WP_003036556
A0Q6E7	WP_011733660
A0Q6E8	WP_003039265
A0Q6E9	WP_003039268
A0Q6F0	WP_003039271
A0Q6F1	WP_003039282
A0Q6F2	WP_003039284
A0Q6F6	WP_003039294
A0Q6F7	WP_003033885
A0Q6F8	WP_003039297
A0Q6F9	WP_003039300
A0Q6G0	WP_003039303
A0Q6G1	WP_003039306
A0Q6G2	WP_003039309
A0Q6G3	WP_003039311
A0Q6G4	WP_003039313
A0Q6G5	WP_011733663
A0Q6G6	WP_003039317
A0Q6G7	WP_003039319
A0Q6G8	WP_003021175
A0Q6G9	WP_011733664
A0Q6H0	WP_003033905
A0Q6H2	WP_003039327
A0Q6H3	WP_003021184
A0Q6H4	WP_003015897
A0Q6H5	WP_011733666
A0Q6H6	WP_003039333
A0Q6H7	WP_003039335
A0Q6H8	WP_003039338
A0Q6H9	WP_003039340
A0Q6I0	WP_003039342
A0Q6I1	WP_003023265
A0Q6I2	WP_003023263
A0Q6I3	WP_003039347
A0Q6I4	WP_003033931
A0Q6I5	WP_003039351
A0Q6I6	WP_003039354
A0Q6I7	WP_003033940
A0Q6I8	WP_003033944
A0Q6I9	WP_011733667
A0Q6J0	WP_003039362
A0Q6J1	WP_003039365
A0Q6J2	WP_003039368
A0Q6J3	WP_003039371
A0Q6J4	WP_003023249
A0Q6J5	WP_003039376
A0Q6J6	WP_003033959
A0Q6J7	WP_011733668
A0Q6J8	WP_003039383
A0Q6J9	WP_003033964
A0Q6K0	WP_003039387
A0Q6K1	WP_003039390
A0Q6K2	WP_003033970
A0Q6K3	WP_003039393
A0Q6K4	WP_003033974
A0Q6K5	WP_003018894
A0Q6K6	WP_003033975
A0Q6K7	WP_003039398
A0Q6K8	WP_003033977
A0Q6K9	WP_003039401
A0Q6L0	WP_003039407
A0Q6L1	WP_003039410
A0Q6L2	WP_003039415
A0Q6L3	WP_003039417
A0Q6L4	WP_003039419
A0Q6L5	WP_003039424
A0Q6L6	WP_003039427
A0Q6L7	WP_003034000
A0Q6L8	WP_003015772
A0Q6L9	WP_003039430
A0Q6M0	WP_011733669
A0Q6M1	WP_003036658
A0Q6M2	WP_003026207
A0Q6M3	WP_003042564
A0Q6M4	WP_003034013
A0Q6M5	WP_003039445
A0Q6M6	WP_003026214
A0Q6M7	WP_003039451
A0Q6M8	WP_003036665
A0Q6M9	WP_003034027
A0Q6N0	WP_003018840
A0Q6N1	WP_003015739
A0Q6N2	WP_003039457
A0Q6N3	WP_011733670
A0Q6N4	WP_003039463
A0Q6N5	WP_003039467
A0Q6N6	WP_003034041
A0Q6N7	WP_003039472
A0Q6N8	WP_003039474
A0Q6N9	WP_003039477
A0Q6P0	WP_003039482
A0Q6P1	WP_003039484
A0Q6P2	WP_003039488
A0Q6P4	WP_003015717
A0Q6P5	WP_003039496
A0Q6P6	WP_003039499
A0Q6P7	WP_003039501
A0Q6P8	WP_003039505
A0Q6P9	WP_003026245
A0Q6Q0	WP_003039507
A0Q6Q1	WP_003036696
A0Q6Q2	WP_003018819
A0Q6Q3	WP_003034079
A0Q6Q4	WP_003039515
A0Q6Q5	WP_011733672
A0Q6Q6	WP_003036701
A0Q6Q7	WP_003036703
A0Q6Q8	WP_003039521
A0Q6Q9	WP_003039524
A0Q6R0	WP_003018803
A0Q6R1	WP_003039530
A0Q6R2	WP_003034100
A0Q6R3	WP_003015556
A0Q6R4	WP_003034103
A0Q6R5	WP_003039534
A0Q6R6	WP_003034109
